Tab	Stage	Section	Order	Text	Future
Operations	Commercial	SOP	1	Receive the approved Sales Order; client orders 22kg or 50kg cylinder variants. (O1.1.1)	same	
Operations	Commercial	SOP	2	Logistics Officer schedules the delivery - vehicle, capacity, route. (O1.2.1)	same
Operations	Commercial	SOP	3	XXX generates the Picklist and YYY picks the LPG/products. (O1.1.2)	same
Operations	Commercial	SOP	4	XXX generates the Delivery Receipt (DR) - 2 DRs and 2 Credit Notes per delivery. (O1.1.3.1)	same		
Operations	Commercial	SOP	5	XXX submits the DR to Accounting to post General Ledger and Inventory entries. (O1.1.3.2)	same
Operations	Commercial	SOP	6	XXX encodes the Sales Invoices to ACCPAC (O1.1.3.3)	Upon writing Sales Invoice, Accounting Sales Encoder encode Sales Order using Sales-Appsheet-T5. Accounting Sales Encoder checks entry summary in Sales-Appsheet-T4.
Operations	Commercial	SOP	7	Helper collects the Delivery Receipts from XXX in Warehouse (may cover multiple clients on one route). (O1.1.4.1)	same	
Operations	Commercial	SOP	8	Driver and Helper proceed to client locations. (O1.1.4.2)	same
Operations	Commercial	SOP	9	For pickup / no-delivery orders, Warehouse gives the DR to the customer for signature instead. (O1.1.4.3)	same
Operations	Commercial	SOP	10	In client site, Helper weighs and records the cylinders with the client (Weigh In), then carries them to area. (O1.1.5.1)	same	
Operations	Commercial	SOP	11	Client representative signs the DR, receives the new cylinders, and returns the empty cylinders. (O1.1.5.2)	same
Operations	Commercial	SOP	12	Helper weighs the returned cylinders (Weigh Out) in the presence of Client Rep, classifies the 1-3kg residue threshold; round up or down. (O1.1.5.3)	same	
Operations	Commercial	SOP	13	Helper provides Credit Notes to the Client, with client representative’s countersignature, recording cylinder serial number and weight residue. (O1.1.5.4)	same	
Operations	Commercial	SOP	13	Driver and Helper return to the plant and weighs the empty cylinders, checks the 1-3kg residue threshold again. (O1.1.6.1)	same	
Operations	Commercial	SOP	14	Driver submits the signed DR, signed Credit Notes and other records to YYY Accounting. (O1.1.6.2)	same
Operations	Commercial	SOP	15	OIC-Accounting reconciles the General Ledger against the signed Delivery Receipt and Credit Notes. She encodes entries in the Sales Gsheet. No Sales-Appsheet. (O1.1.7.1)	OIC-Accounting reconciles the General Ledger in Sales-Appsheet-T3 against the signed Delivery Receipt and Credit Notes. No encoding needed in T3. (O1.1.7.1) 		
Operations	Commercial	SOP	16	Industrial Engineer reconciles Month-End Report (CIMER) daily. (O1.1.7.2)	Industrial Engineer checks all input data in CIMER-T2. (O1.1.7.2) 		
Operations	Commercial	SOP	17	Operations Supervisor records gains from CIMER as Inv/Adj in ACCPAC. (O1.1.7.3)	Operations Supervisor records gains from CIMER-T1 as Inv/Adj in ACCPAC. (O1.1.7.3)
Operations	Commercial	SOP	18	Industrial Engineer submits Computation Sheet for CEO’s approval (O1.1.7.4)	Industrial Engineer submits Gains Summary CIMER-T2.1 for CEO’s approval	
Operations	Commercial	SOP	19	OIC-Accounting distribute incentives via Payroll to the involved members. (O1.1.7.5)	
Operations	Commercial	Guidelines	1	The Commercial residue classification threshold is fixed between 1-3kg; deviations are escalated to the Senior Plant Supervisor, not decided ad hoc by the driver.	
Operations	Commercial	Guidelines	2	Two DRs and two Credit Notes are mandatory per delivery (client copy + company copy); a delivery without a matching document pair is not closed in the GL.	
Operations	Commercial	Guidelines	3	No cylinder leaves the warehouse without a Picklist form; no GL/Inventory posting is made without a Warehouse-submitted DR.	
Operations	Commercial	Guidelines	4	Incentive Gains are computed only from matched weigh-in/weigh-out pairs - unmatched records are held for investigation, never estimated.
Operations	Bulk	SOP	1	Sales Rep receives the bulk Sales Order; the order must fill the 8-ton truck capacity. (O2.1.1.1)	
Operations	Bulk	SOP	2	Logistics Officer assign the lorry/trailer truck and load from the Storage Tank (stock transfer, tank to truck - no cylinders involved). (O2.1.2.1)	
Operations	Bulk	SOP	3	XXX Weigh the loaded truck at the plant truck scale (weigh-out). (O2.1.2.2)	
Operations	Bulk	SOP	4	XXX Generate loading documents: Stock Transfer Form, Truck Scale slip, and Delivery Receipt - issued per lorry load. (O2.1.2.3)	
