Name	Field1Label	Field1Value	Field2Label	Field2Value
Encode Sales Order	Description	Essential. Encode in ACCPAC via Appsheet.	Key Steps 	From paper Invoice, encode in Appsheet.
Schedule Sales Order	Description	Order intake, scheduling, and validation workflow. Begins when a client order arrives through any sales channel and ends when the order is confirmed and queued for fulfilment.	Key Steps	Receive client order · Validate cylinder type and quantity · Schedule delivery or pickup · Assign reference number
Fulfil Sales Order	Description	Order execution and physical delivery to the client. Covers warehouse picking, driver dispatch, on-site delivery or pickup, and client signature collection.	Key Steps	Generate Picklist · Pick cylinders · Dispatch Driver and Pahinante · Deliver/pickup · Collect signed DR · Return empty cylinders
Sales Reports	Description	Bi-weekly or monthly Sales Performance Report (SPR) generation. IT Head prints the report based on inventory volume; covers sales per kg, total sales, net sales, cost of sales, and Gross Profit Margin.	Key Steps	IT Head prints SPR · Review sales per kg and total sales · Compute net sales and GPM · Distribute to management
Invoicing	Description	Billing and invoice issuance process. Covers generation of the Invoice document, pairing with the Delivery Receipt and Sales Order, and submission to Accounting for reconciliation.	Key Steps	Generate Invoice · Attach to DR and Sales Order · Submit to Accounting · Record in General Ledger
Accounts Receivable	Description	Collection and reconciliation of outstanding client invoices. Includes reviewing monthly summary tables, printing Aged Receivables, bank reconciliation, and resolving customer disputes.	Key Steps	Collect DR + Sales Order + Invoice · Check monthly invoice summary · Print Aged Receivables · Bank reconciliation · Resolve disputes
CIMER	Description	Balance the daily inventory for the Inventory Month-end Report (CIMER)	Key Steps	Done daily, encode all Debit and Credit, locations/vehicles, actual reading, gross and net gains. 	
Compute Gains	Description	General commission and gains computation covering all sales channels. Used as a summary step for reconciling total gains per delivery cycle. Distribution.	Key Steps	Aggregate delivery records · Apply commission formula · Generate gains summary
GRR-Appsheet	Description	First line of encoding of Dealer Sales, encoding Cash and Credit Invoices.	Key Steps	Checker encodes. OIC-Accounting checks. Plant Operations Manager approves.  	
Stock Transfer	Description	Gas content refilling from the Storage Tank to individual cylinders following the FIFO (First-In-First-Out) process. Managed by Plant Staff using the gauge measurement system.	Key Steps	Measure tank volume · Refill cylinders FIFO · Document fill quantities · Update inventory records
Pricing Matrix	Description	LPG price-setting process using the MGC LPG Pricing Matrix dashboard. Held 1–3 times per month in a General Meeting; covers Sales Price, MPL, Total Cost (Acq Cost + Hauling), and kg per avenue.	Key Steps	General Meeting · Review acquisition and hauling costs · Set price per avenue · Update Pricing Matrix dashboard
Industrial Projects	Description	Industrial project budget vs. actual PNL and timeline tracking. Produces Budget PNL, Actual PNL, and timeline documents for each industrial engagement.	Outputs	Budget PNL · Actual PNL · Timeline document
