Name	Field1Label	Field1Value	Field2Label	Field2Value
Sales Order Form	Description	Created by the Sales Rep for dealer and retail client orders. Includes the delivery or pickup date. Used by the Delivery Head to schedule routes. Signed by the client if pickup with terms.	Usage	Sales Rep creates Sales Order Form · Specifies delivery/pickup date · Delivery Head reads to schedule route · Client signs for pickup with terms
Invoice	Description	Billing document issued to clients. Collected by Accounting together with the DR and Sales Order as a package for receivables reconciliation. Linked to the Accounts Receivable subprocess.	Usage	Issued on delivery · Accounting collects DR + Sales Order + Invoice · Used for monthly receivables summary and bank reconciliation
Credit Notes (CR)	Description	Document issued to the client recording the cylinder weight residue credits. Contains the cylinder serial number and weight residue. Warehouse generates 2 DRs and 2 CRs per delivery. Threshold: 1–3 kg residue triggers roundup/rounddown classification.	Usage	Pahinante records weight · Driver provides Credit Notes to client with cylinder serial # and weight residue · Submitted to Accounting
Promissory Note	Description	Required fallback payment-security document for a dealer who cannot issue Post-Dated Checks. Executed before installment credit is extended in place of PDCs.	Usage	Used when dealer cannot provide PDCs · Executed before installment terms are granted · Filed alongside the dealer's AR record
Post-Dated Checks (PDC)	Description	Default payment security collected from dealers on installment terms (about 70% of dealers). A Promissory Note is the required fallback when a dealer cannot issue PDCs.	Usage	Collected for installment orders · Tracked in Google Sheets by due date · Missing PDC triggers Promissory Note requirement
Entry/Exit Slip (EES)	Description	Gate document issued to a dealer or retail vehicle on plant entry, recording cylinder quantities and tank classification. Validated by the Guard on both entry and final exit.	Usage	Guard issues on vehicle entry · Guard validates tank classification · Guard performs final exit verification before release
Loading/Unloading Ticket (LUT)	Description	Cover cylinder sizes 2.7 kg, 11 kg, and 50 kg. Used to balance empty and field cylinder data when preparing the Incentive template for payroll.	Usage	Accounting uses LUT forms (check 2.7kg, 11kg, 50kg) to balance empty and field cylinders · Feeds into Incentive template · Used for Commercial and Retail payroll
Picklist	Description	Warehouse picking document generated per order. Lists the specific cylinders (type, size, quantity) to be picked from storage for a delivery. Generated before the Delivery Receipt.	Usage	Warehouse generates Picklist after order confirmation · Staff picks cylinders per Picklist · Feeds into DR generation
Delivery Receipt (DR)	Description	The primary delivery document that accompanies each cylinder delivery. The Driver carries the DR for multiple clients. The client signs the DR on receipt. The signed DR is submitted to Accounting for General Ledger reconciliation.	Usage	Warehouse generates 2 DRs and 2 CRs per delivery · Driver carries DR to client · Client signs · Driver submits signed DR to Acctg · Acctg reconciles GL with signed DR and AR
General Ledger (GL)	Description	The central accounting ledger entry updated for each delivery and financial transaction. Acctg Staff reconciles the General Ledger with the signed DR and AR after each delivery cycle. Usage	Warehouse submits DR to Accounting to make General Ledger and Inventory entry · Acctg Staff reconciles GL with signed DR and AR
